Date received,Product,Sub-product,Issue,Sub-issue,Consumer complaint narrative,Company public response,Company,State,ZIP code,Tags,Consumer consent provided?,Submitted via,Date sent to company,Company response to consumer,Timely response?,Consumer disputed?,Complaint ID
621,2015-09-30,Mortgage,FHA mortgage,"Loan modification,collection,foreclosure",,"I have discovered the Assignment of Mortgage on my loan was robo-signed by robo-signer XXXX XXXX. 
Robo-signing is illegal in the State of New York. The Assignment of Mortgage executed and recorded/filed on XXXX XXXX, 2011 on my loan was robo-signed by known robo-signer XXXX XXXX. XXXX XXXX was not an employee XXXX XXXX XXXX XXXX XXXX XXXX at the date of the signing and XXXX Bank, XXXX did not exist on XXXX XXXX, 2011.",,NATIONSTAR MORTGAGE LLC,NY,11204,,Consent provided,Web,09/30/15,Closed with explanation,Yes,No,1586568
758,2015-06-02,Debt collection,Credit card,Cont'd attempts collect debt not owed,Debt was paid,"I am applying for a mortgage and was getting a pre approval when my loan officer told me I had a collections debt from XXXX still on my credit report from 2010. First of all, that debt was my father 's not mine but they attached it to my name and it affected my credit in XXXX when I was applying for a mortgage the first time. I went with my father personally to the place and paid that debt for him in order to get it taken off of my credit history. Now again, it 's still on my history after settling and paying the debt of {$2200.00}. I need to get this removed because it is lowering my credit score. I have to paperwork dated XXXX XXXX 2010 to prove it. There is also a pending class action law suit vs. XXXX collections agency that I an a part of. Please help.",Company chooses not to provide a public response,"CITIBANK, N.A.",NY,11105,,Consent provided,Web,06/02/15,Closed with explanation,Yes,No,1401964
866,2015-04-10,Credit reporting,,Incorrect information on credit report,Information is not mine,"A {$600.00} medical bill for treatment of my wife, not me, was sent to collection. The only way I found out about it was when I did the free annual credit report. I told the debt collector that it was not for me, they said the medical service provider chases the insured name and not the person who signs the form at the doctors office. My sister happens to manage a medical office and she verified that the service providers XXXX the insurance that was used, and not the person who signs the form accepting responsibility. What is the point of having a patient sign that form if they doctor chases the insurance? The system is horrible and biased in favor of the insurance/doctor/bill collector. If any one of them had sent me a certified letter explaining the facts I surely would have resolved this MINOR ISSUE. The law should REQUIRE at least certified mail before an allegedly unpaid bill tarnishes a person 's credit score. I had perfect credit all of my life until this unwarranted, unfair, and uncalled for blemish marred my credit score. My reputation has been slandered by the doctor 's office, the insurance, and the bill collector, and they walk away scott free. It is way too easy for them to throw out claims without any substantiation. They ought to be ashamed of themselves, especially for the bill collectors who are bottom feeders and bullies anyway! I know that N.Y. has recently made some slight improvements regarding medical bills. That 's great, but what does that bill become when sent to a collection firm? The federal government must do what states can not or will not do. 
This happened several years ago, so my letter is more of a cautionary tale, than any request for assistance. On the other hand, if there is any action I can take now I would be very interested in learning what that might be. Thank you. God knows we need all the help we can get to fight against the many unethical, though maybe legal, practices exercised by firms today.",,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",NY,11563,,Consent provided,Web,04/10/15,Closed with explanation,Yes,No,1324898
1055,2015-05-29,Bank account or service,Checking account,Problems caused by my funds being low,,"I inadvertently used a Santander account to pay a XXXX phone bill. It must have been on a selection list I did n't notice. In any case there were insufficient funds to cover the payment. I only really use this account to transfer funds to my daughter 's college account. I received XXXX notices, XXXX postmarked XX/XX/XXXX ( XXXX days after the transaction date ) and another on XX/XX/XXXX 7 days after the fact telling me I had XXXX days to remediate the issue. All the while I had already been charged an additional {$35.00} fee for not adding funds to the account.. That seem like an unscrupulous business practice. I was told by their representative that I have to continually review my account and I was out of luck. That 's ridiculous ... They know enough to send a notice but wait XXXX days to send it to ensure XXXX % of the time they 'll get another {$35.00} ....",Company chooses not to provide a public response,"SANTANDER BANK, NATIONAL ASSOCIATION",NY,10314,,Consent provided,Web,05/29/15,Closed,Yes,No,1397413
1125,2015-07-06,Mortgage,Conventional adjustable mortgage (ARM),"Application, originator, mortgage broker",,"Chase Bank has put on my credit report that I had a foreclosure on a property I owned in Florida. This loan was a short sale loan. The loan was a negative am loan underXXXX and Chase Aprroved the short sale. I need them to update my credit report to reflect late pay and paid as agreed, short sale specifically on the experian, it states XXXX. I am applying for a mortgage and all of the copanies are stating that I have a Foreclosure with Chase because of the XXXX. The other XXXX are correct.",,JPMORGAN CHASE & CO.,NY,10473,,Consent provided,Web,07/10/15,Closed with explanation,Yes,No,1453141
1194,2015-11-18,Bank account or service,Other bank product/service,Deposits and withdrawals,,"I have had a Paypal account for over a decade and use it for a variety of purposes. Three months ago, Paypal froze my account ( and withdrawal ability ), which contains {$1300.00}. I emailed their compliance department, but my request for the funds was denied. 

I have been using one of their products, MyCash, for over a year, in order to fund my account. Paypal 's TOS states that MyCash can not be "" withdrawn to a bank, online bank, ATM, or prepaid card. '' I have followed this policy, and have challenged them to find a counterexample example in my transaction records. 

However, Paypal has not cited any example ( despite my request ) of how I violated their policy -- so I am completely in the dark! In addition, the contact information in their email to me appears to not lead to the right department. When I have called them ( twice ), they have given me scripted responses without any investigation. I believe I am entitled to a proper, respectful, and reasonable response as they are holding {$1300.00} of my money and not returning it. 
-- -- -- -- -- -- My email to their compliance department : Paypal Customer Service instructed me to email you in order to resolve the above case -- I 'd like to get more information about why the account has been limited and what led to the restriction. My basic understanding is that Paypal My Cash is to be used for Retail transactions only. I am certain that I followed this policy and need this case to be examined. 

1 ) Are there any specific transactions that were against Paypal policy? If so, can you please list these transactions? 
2 ) My account balance is {$1300.00}. This amount has been restricted for 77 days. When will these funds be available for withdrawal? 
-- -- -- -- -- -- Their response : For the safety and security of the PayPal network, we often review accounts for potential risks. After reviewing your account, we have decided to close it because of security issues. Below is part of the email that was sent in regards to the use of the My Cash product. 
We 're not sure you 're aware but it appears the MyCash has been used for deposits to your PayPal account, and those deposits have been withdrawn to a bank, online bank, ATM, or prepaid card. The MyCash feature is for making deposits to your PayPal account for retail purchases. If we continue to see this activity of using the MyCash with your PayPal account for cash withdrawals, we may have to limit or close your PayPal account. Unfortunately due to the continued use of the product as aforementioned, your account has been limited. 
Money in your PayPal account will be held for 180 days. After 180 days, we 'll email you information on how to receive your funds. 
We regret any inconvenience this may cause. 
-- -- -- -- -- --",,"Paypal Holdings, Inc",NY,XXXXX,,Consent provided,Web,11/18/15,Closed with non-monetary relief,Yes,No,1660563
1207,2015-12-11,Bank account or service,Other bank product/service,"Making/receiving payments, sending money",,"XX/XX/2015, I used the Commuter Check Card from ADP to buy the monthly XXXX subway card. The pre-tax benefit amount of {$110.00} was deducted but did n't get added to the subway card. Upon extensive correspondence with XXXX, they informed the said amount was refunded to ADP. ADP initially said they did not get any refund on the card and on sending XXXX 's response letter and refund confirmation to ADP, they stopped responding and still have not issued the refund.",,First Data Corporation,NY,11102,,Consent provided,Web,12/24/15,Closed with explanation,Yes,No,1693360
1243,2015-08-18,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,"I had a XXXX mortgage with HFC Beneficial, I was involved in a dispute with them regarding the handling of the loan and the terms, but I had worked out a temporary solution to this and was making scheduled, agreed upon payments with them on time. I was told by them XX/XX/XXXX that they had "" written off '' my loan XX/XX/XXXX ( even though I was making on time payments ), they would not give me any further information. I was contacted approximately 6 months later by XXXX XXXX XXXX saying that they were now handling the loan and demanding payment in full. When I spoke with a supervisor ( XXXX ) XX/XX/XXXX, he said my only option was to refinance my house and pay the debt off quickly so that it would n't appear on my credit. He says that even if I pay it out, it will show on my credit as a bad debt until it is completely paid off ( even if I make on time payments ). My understanding is that at the very least, they should allow me to continue to make my payments as per my original agreement with HFC. No one at HFC will talk to me about any of this because they "" wrote off '' the loan. 

Some notes about the original loan : I was "" Bait and Switched '' into a high interest rate and points when I took out the loan ( XX/XX/XXXX ). I was XXXX and XXXX at Beneficial in XXXX NY told us we could borrow the money for 8 %, no points, over the next weeks he put us off and crept the interest up a little, then after my daughter was born and I had been out of work for a few weeks and he knew he had us hooked and too busy to change servicers, he jacked the rate to 12 % and added the points. We should n't have accepted it, but we were stressed and I thought I could refinance it easily soon after. this did n't work out. 

When my XXXX child was born she had to be in a XXXX 2.5 hours away from our home for over a month and we financially fell apart for a few years. I worked with HFC to lower the interest rate, and got a lot of run around, but caught up with the new payment terms/plan. This agreement with them had to be renewed every 6 months, they always made this very difficult making me send in paperwork multiple times etc. 

The year the loan was "" written off '' I was in contact with them regarding lowering the interest rate for the rest of the term of the loan and questioning the way they were calculating the interest, ( I have basically made no progress on principal in all this time ), they made communication extremely difficult and never addressed my concerns, I believe they passed the debt on because they knew they were in the wrong. 

I would appreciate any help you can give us with this.",,HSBC NORTH AMERICA HOLDINGS INC.,NY,124XX,,Consent provided,Web,08/18/15,Closed with explanation,Yes,No,1523275
1247,2015-10-23,Credit reporting,,Incorrect information on credit report,Information is not mine,"They have received no response. I can not logon online to enter dispute due to incorrect information about a mortgage on my credit file. Transunion has incorrect information on my file and is now making it very difficult to report it. The following information is incorrect and not mine, so unless proof of my signature is provided it must be removed from mu report. 
1- XXXX XXXX XXXX # XXXX - DO NOT KNOW OF THIS2 - XXXX # XXXX AND # XXXX THESE ARE NOT MINE AND SHOULD BE REMOVED FROM MY REPORT. 
3 - XXXX XXXX XXXX # XXXX - THIS IS NOT MINE AND NEEDS TO BE REMOVED FROM MY FILE AND REPORT.",Company chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",NY,11219,Servicemember,Consent provided,Web,10/23/15,Closed with non-monetary relief,Yes,Yes,1621195
1297,2015-10-08,Debt collection,I do not know,Communication tactics,Frequent or repeated calls,Ltd financial is calling my place of employment and repeatedly leaving messages for me to return their calls.,,"LTD Financial Services, L.P.",NY,141XX,,Consent provided,Web,10/08/15,Closed with non-monetary relief,Yes,No,1598568
1318,2015-07-23,Mortgage,Conventional fixed mortgage,"Application, originator, mortgage broker",,"JPMorgan Chase is XXXX of XXXX banks that recently pleaded guilty to an array of antitrust and fraud charges. It is the XXXX-largest U.S. mortgage lender, although it now has a new mortgage strategy. The bank pays closer attention to the credit quality of the borrowers, favoring "" jumbo loans '' that are so big that government agencies will not guarantee or insure them. The borrowers must be very wealthy. What about the average American seeking a mortgage from JPMorgan Chase? 

XX/XX/2015 my daughter, with a credit score of XXXX, inquired about a mortgage for a house in Illinois. In view of the fact that her annual salary at her new place of work would be only {$30000.00}, she was told by a Chase mortgage banker that she needed me, her father, as a co-borrower. My annual income is approximately XXXX with assets in the neighborhood of XXXX. My daughter and I proceeded together and were informed in writing on XXXX XXXX, 2015 that our home financing experience would be "" simple and stress-free from start to finish. "" For the next two months my daughter and I were inundated with requests for data and information. It was a massive invasion of our privacy. My financial records for several years were required, telling JPMorgan Chase what I buy, where my purchases are made, and who receives money from me. The height of absurdity was reached when the Loan Processor and the Mortgage Banker wanted to know in writing why a credit report had XXXX first names for me, XXXX and XXXX. 

On XXXX XXXX, 2015, my daughter and I signed a mortgage application. The closing date for the purchase of our house was on or before XXXX XXXX, 2015. Several weeks before the closing date our realtor reached out to our lender for information about financing. The real estate agent informed me that she had had not heard back from the mortgage broker. My daughter and I subsequently received a Mortgage Commitment Letter dated XXXX XXXX, 2015, which was conditional upon fulfillment of XXXX conditions. XXXX condition ( pay stubs from my daughter 's employer for thirty days ) was impossible to meet by the closing date of XXXX XXXX, 2015, or by the XXXX XXXX expiration date of the Commitment Letter. The Mortgage Banker knew from a document e-mailed to him on XXXX XXXX, 2015, that my daughter 's three-year contract would not begin until XXXX XXXX, 2015. 

Needless to say, my daughter and I did not sign the Commitment Letter. I purchased the new home with cash by selling all of my JPMorgan Chase equities, which in ten months had increased in value by only XXXX percent, and by selling some of my XXXX XXXX holdings, which had increased in value by XXXX percent during the same time period. JPMorgan responded by taking {$450.00} from my daughter 's checking account for having "" voluntarily '' withdrawn from an "" approved loan. '' Our experience with JPMorgan Chase supports the conclusion of U.S. Attorney General XXXX XXXX that JPMorgan chases profits without regard to fairness, to the law, or to the public welfare.",,JPMORGAN CHASE & CO.,NY,130XX,Older American,Consent provided,Web,07/23/15,Closed with explanation,Yes,Yes,1484357
1346,2015-09-11,Debt collection,Medical,Communication tactics,Used obscene/profane/abusive language,"My wife has been harrassed by XXXX from Kinum, IncPhone : ( XXXX ) XXXX on several occasions. When I attempted to call he was extremely rude and eventually hung the phone up on me. he threatened to get the money through my job at the XXXX XXXX XXXX at the time. He sent a text to my cell phone with his phone number. I addressed the issue with our insurance company and they are processing the claim for payment to the original medical provider. XXXX is extremely rude and aggressive and should not be allowed to communicate in this manner.",Company believes it acted appropriately as authorized by contract or law,"Kinum, Inc., Indianapolis, IN Branch",NY,140XX,,Consent provided,Web,09/16/15,Closed with explanation,Yes,Yes,1561754
1378,2015-11-05,Mortgage,Conventional adjustable mortgage (ARM),Settlement process and costs,,"I XXXX applied for a mortgage on or about the year XX/XX/XXXX. I applied for a mortgage amount approximately of {$150000.00}. I filled out a XXXX form and supplied all necessary documentation along with signing a XXXX form so the bank who originated this no income check subprime mortgage could verify that I can afford it. The bank who originated this mortgage committed fraud in the fact that they never audited and ordered my XXXX directly XXXX to verify my actual income and stated what it was instead. Furthermore this mortgage/note was originated XX/XX/XXXX as a 5 year interest only mortgage. Nationstar Mtg has never adjusted the mortgage/note to reflect P.I.T.I The current mortgage/note XXXX and now servicing with Nationstar Mortgage Loan # XXXX on my Property : XXXX XXXX XXXX XXXX XXXX XXXX Florida XXXX XXXX, my S.S. # is *********** D.O.B. XXXX/XXXX/XXXX. XXXX Bank and XXXX XXXX XXXX are committing the following Fraudulent and Federal Law violations:2. FRAUD IN THE CONCEALMENT ; 3. FRAUD IN THE INDUCEMENT ; 4. INTENTIONAL INFLICTION OF EMOTIONAL DISTRESS ; 5. QUIET TITLE ; 6. SLANDER OF TITLE ; 7. DECLARATORY RELIEF ; 8. VIOLATIONS OF TILA ; 9. VIOLATIONS OF RESPA ; 10. VIOLATIONS OF HOEPA ; 11. RESCISSION. 
12. MAIL FRAUD IN BILLING AND CONTINUALLY BILLING TO THIS CURRENT DAY.",,NATIONSTAR MORTGAGE LLC,NY,11743,,Consent provided,Web,11/06/15,Closed,Yes,Yes,1640960
1452,2015-10-27,Mortgage,FHA mortgage,"Loan modification,collection,foreclosure",,"I AM A SENIOR CITIZEN AND HAVE BEEN TRYING TO SELL MY HOUSE THROUGH A SHORT SALE WITH MY LENDER, XXXX BANK XX/XX/XXXX. I HAVE HAD NUMEROUS OFFERS, APPRAISALS AND COUNTER OFFERS AND STILL CAN NOT GET MY PROPERTY SOLD. THERE IS AN OFFER THAT HAS BEEN UNDER REVIEW WITH MY LENDER SINCE LAST YEAR AND A FEW DAYS AGO I RECEIVED A MOTION FROM MY LENDER 'S ATTORNEY REQUESTING THE COURT 'S ASSISTANCE IN RESTORING THE FORECLOSURE ACTION TO THE CALENDAR. THE FILE WAS SERVICE RELEASE TO XXXX LOAN SERVICING AND WHILE THE REVIEW PROCESS WAS STILL ONGOING, THE FILE WAS SERVICE RELEASED TO SETERUS. THE CURRENT OFFER TO MY KNOWLEDGE IS UNDER REVIEW WITH XXXX SETERUS. SO WHAT I DO NOT UNDERSTAND IS HOW CAN THE BANK AND THEIR ATTORNEY PROCEED WITH FORECLOSURE WITHOUT A DENIAL OF THE CURRENT OFFER? 
MY REALTOR 'S OFFICE INFORMED ME THAT XX/XX/XXXX, A REPRESENTATIVE FROM THE SETERUS CONTACTED HIS OFFICE TO INFORM HIM THAT THERE WERE DOCUMENTS MISSING BUT THE DOCUMENTS THAT THEY STATED WERE MISSING WERE EMAILED TO THE NEGOTIATOR, XX/XX/XXXX AND AS OF TODAY 'S DATE, THERE HAS BEEN NO RESPONSE FROM HER. 
I REALLY DO NOT UNDERSTAND THIS PROCESS AS THE BUYER DID NOT CHANGE THEIR MIND ON PURCHASING THE HOUSE AND HAVE BEEN PATIENTLY WAITING FOR THE BANK TO ISSUE AN APPROVAL WHICH STILL HAS NOT BE DONE. 
THE MOST TROUBLING PART OF THIS SHORT SALE PROCESS IS THAT IT HAS BEEN ONGOING FOR MORE THAN 3 YEARS WITH NO RESOLUTION INSIGHT. MY AGENT HAS ALREADY SENT A COPY OF THE SHORT SALE DOCUMENTS TO THE BANK AND THEIR ATTORNEY SO I REALLY DO NOT UNDERSTAND WHY THEY ARE TRYING TO PROCEED WITH THE FORECLOSURE.",,"Seterus, Inc.",NY,11433,Older American,Consent provided,Web,10/27/15,Closed with explanation,Yes,No,1627372
1598,2015-12-04,Credit card,,Rewards,,"I had XXXX ( XXXX ) credit cards with HSBC Bank USA that accumulate points for every dollar I spend with my credit cards. The points that I earn accumulate in my account until i used it for purchase of airline ticket or other goods and merchandise, base on the terms and agreement with the credit card company my points never get expired. I currently have XXXX points XXXX card and XXXX on the XXXX card. I received a letter in the mail one day to my surprise the bank close my account and cancel my credit cards. When I call the bank to inquire what the problem was I was told that my business was not profitable since I am a very good customer and I always pay my balance in full the bank is not making money from my business, when I inquire about my points the are saying I lost the points because my account was closed. I am writing to you to help me regain my points since the bank choose to close my account without my consent and did not give me the opportunity to redeem my points which worth a lot to me.",,HSBC NORTH AMERICA HOLDINGS INC.,NY,11435,,Consent provided,Web,12/04/15,Closed with explanation,Yes,No,1682932
1841,2015-11-21,Debt collection,Credit card,Cont'd attempts collect debt not owed,Debt was paid,"My husband and I had a debt from a credit card and the debt was bought by XXXX XXXX XXXX, now known as XXXX. XX/XX/XXXX I paid in full the remainder of the debt. 

XX/XX/XXXX when I refinanced, my attorney informed me that XXXX XXXX still had a lien on my house. This was the first time I learned of this issue. The attorney handling the refinancing was able to contact XXXX XXXX and received a lettered response dated XXXX XXXX, XXXX that stated in part, "" This loan has a XXXX balance with XXXX demand. '' Since XX/XX/XXXX I have had my family attorney try to resolve this matter. XXXX XXXX demanded a {$400.00} payment to remove the lien, which I refuse to pay. This should be free. 

XXXX XXXX has since failed to respond to my attorney 's phone calls and phone calls placed by my son.",,LOAN SERVICING GROUP,NY,148XX,Servicemember,Consent provided,Web,12/29/15,Closed with non-monetary relief,No,No,1666820
2263,2015-03-26,Bank account or service,Checking account,"Account opening, closing, or management",,"I opened a new checking account [ XXXX ] with PNC Bank [ XXXX branch at XXXX XXXX ] in XXXX 2014 after I was offered a bonus promotion of {$300.00} for doing direct deposits totaling {$5000.00} and a bill pay. 

I complied with the Direct Deposit Requirements [ XXXX direct deposits of {$2500.00} on XXXX for a total of {$5000.00} and a XXXX XXXX Bill pay on XXXX ]. However, I never received the bonus. 

I contacted the bank XXXX after the XXXX day period that I was told it would take them to deposit the promotion bonus, but they refused to comply with their offer.",,PNC Bank N.A.,NY,11385,,Consent provided,Web,03/26/15,Closed with explanation,Yes,No,1303393
